Generation,Vial,Diet,DietHistory,Mass,WingLength,LarvalTime,PupalTime
F0,1,poor,P,0.8,1.431,7.5,4
F0,6,poor,P,0.9,1.477,7.5,4
F0,1,poor,P,0.9,1.514,7.5,4
F0,8,poor,P,0.9,1.531,9.5,4
F0,4,poor,P,1.5,1.535,7.5,4
F0,4,poor,P,0.9,1.575,7.5,4
F0,7,poor,P,1.1,1.578,7.5,4
F0,5,poor,P,1,1.618,6.5,4
F0,10,poor,P,0.9,1.638,6.5,4
F0,10,poor,P,0.8,1.64,7.5,3
F0,10,poor,P,0.6,1.649,8.5,4
F0,11,standard,S,1.4,1.67,5.5,4
F0,5,poor,P,0.9,1.679,7.5,4
F0,2,poor,P,1,1.684,6.5,5
F0,8,poor,P,1.2,1.689,6.5,4
F0,11,poor,P,1.3,1.691,7.5,4
F0,5,poor,P,1,1.696,6.5,4
F0,9,poor,P,1.5,1.705,7.5,4
F0,3,poor,P,0.9,1.707,7.5,4
F0,5,standard,S,1.4,1.715,9.5,5
F0,10,poor,P,0.9,1.719,6.5,4
F0,5,poor,P,1,1.722,6.5,4
F0,9,poor,P,0.9,1.727,8.5,4
F0,12,poor,P,1.2,1.744,7.5,4
F0,12,poor,P,0.9,1.747,8.5,4
F0,11,poor,P,1.1,1.748,7.5,4
F0,7,poor,P,1.1,1.751,7.5,4
F0,7,poor,P,1.2,1.755,8.5,4
F0,1,poor,P,1.1,1.755,6.5,4
F0,10,poor,P,1.6,1.758,6.5,4
F0,14,poor,P,1,1.772,7.5,3
F0,14,poor,P,1,1.776,7.5,3
F0,5,poor,P,1.1,1.778,6.5,4
F0,13,poor,P,1.6,1.778,8.5,4
F0,13,poor,P,1.4,1.779,6.5,4
F0,11,poor,P,1.5,1.782,7.5,4
F0,7,poor,P,1,1.784,10.5,4
F0,12,poor,P,1.4,1.786,8.5,4
F0,11,standard,S,1.4,1.795,5.5,3
F0,4,poor,P,1.3,1.796,6.5,4
F0,1,poor,P,1.2,1.799,6.5,5
F0,4,poor,P,1,1.806,6.5,4
F0,7,poor,P,1.3,1.807,7.5,4
F0,12,poor,P,1.6,1.807,8.5,4
F0,9,poor,P,1.1,1.808,6.5,4
F0,8,poor,P,1.3,1.809,6.5,4
F0,11,rich,R,1.2,1.81,7.5,4
F0,9,poor,P,1.2,1.812,6.5,4
F0,3,poor,P,0.9,1.812,8.5,4
F0,11,poor,P,1.4,1.814,6.5,4
F0,1,poor,P,1.1,1.824,6.5,4
F0,9,poor,P,1.1,1.83,7.5,3
F0,11,poor,P,1.5,1.831,6.5,4
F0,2,poor,P,1.1,1.836,9.5,4
F0,14,poor,P,1.1,1.838,6.5,4
F0,5,poor,P,1.2,1.84,6.5,4
F0,2,poor,P,1.5,1.841,5.5,4
F0,11,poor,P,1.2,1.841,7.5,4
F0,10,poor,P,1.3,1.843,5.5,4
F0,3,poor,P,1.1,1.844,6.5,4
F0,12,poor,P,1.2,1.845,8.5,4
F0,8,poor,P,1.2,1.853,6.5,4
F0,5,poor,P,1.2,1.853,8.5,4
F0,12,poor,P,1.8,1.853,7.5,4
F0,10,poor,P,1.3,1.854,5.5,4
F0,13,poor,P,1.3,1.857,8.5,3
F0,3,poor,P,1.4,1.859,5.5,4
F0,3,poor,P,1.3,1.862,7.5,4
F0,13,poor,P,1,1.863,7.5,4
F0,11,poor,P,1.3,1.863,6.5,4
F0,12,poor,P,1.7,1.867,7.5,4
F0,5,poor,P,1,1.872,7.5,4
F0,4,poor,P,1.4,1.875,5.5,5
F0,3,poor,P,1.2,1.875,6.5,5
F0,9,poor,P,1.4,1.876,7.5,4
F0,1,poor,P,1.4,1.878,6.5,4
F0,7,poor,P,1.3,1.88,6.5,4
F0,14,poor,P,1,1.88,7.5,4
F0,4,poor,P,1.2,1.886,6.5,4
F0,13,poor,P,1.7,1.888,7.5,4
F0,1,poor,P,1.3,1.89,6.5,4
F0,10,poor,P,1.4,1.89,9.5,4
F0,4,poor,P,1.3,1.892,5.5,4
F0,8,poor,P,1.2,1.892,7.5,4
F0,2,poor,P,1.3,1.895,7.5,4
F0,13,poor,P,1.1,1.899,7.5,3
