INSTNM,STABBR,CONTROL,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,UGDS,PCTFLOAN,MD_EARN_WNE_P10,GRAD_DEBT_MDN_SUPP,RPY_3YR_RT_SUPP,NPT4,RPY_3YR_70
The University of Alabama,AL,public,555,565,540,27,28,25,7,29851,0.401,41900,23750,0.5726116534,20787,0
Auburn University,AL,public,575,588,565,27,28,26,7,20514,0.3494,45700,21831,0.7243539546,18644,1
University of South Alabama,AL,public,510,518,485,23,24,22,7,11267,0.5729,37300,24711,0.4318943059,14327,0
Azusa Pacific University,CA,private,515,515,505,23,23,23,8,5918,0.5172,50000,22500,0.6645435244,29574,0
Chapman University,CA,private,595,605,610,27,28,27,9,6211,0.6461,50100,21000,0.6160405623,35602,0
San Diego Christian College,CA,private,495,480,485,22,21,20,7,940,0.8845,33900,20000,0.5360230548,27734,0
Life Pacific College,CA,private,470,441,461,19,18,18,7,479,0.5927,29000,21500,0.5752895753,19702,0
Loyola Marymount University,CA,private,590,610,598,28,29,27,9,6064,0.4535,54100,22500,0.7897727273,38019,1
Notre Dame de Namur University,CA,private,475,470,465,19,19,20,7,1177,0.6826,51000,26865.5,0.6164596273,25574,0
Occidental College,CA,private,645,655,655,29,31,29,9,2023,0.5304,48500,23231.5,0.8771084337,28787,1
University of San Diego,CA,private,605,620,610,28,29,28,9,5656,0.4204,56900,22750,0.7659732541,30191,1
University of San Francisco,CA,private,565,580,565,26,26,25,9,6745,0.4776,60300,25000,0.7001448576,30154,1
Scripps College,CA,private,695,665,680,31,32,29,9,962,0.3755,47800,13749.5,0.9125,28736,1
Saint Mary's College of California,CA,private,545,555,560,25,25,25,8,2949,0.5099,58400,25750,0.7131715771,32605,1
Southern California Institute of Architecture,CA,private,521,642,549,24,23,26,9,263,0.4471,46500,39500,0.6020408163,46509,0
Thomas Aquinas College,CA,private,665,600,640,28,29,27,9,378,0.735,30200,16500,0.8936170213,20460,1
University of Colorado Colorado Springs,CO,public,540,545,535,24,23,23,8,9310,0.473,40600,21187.5,0.655490934,15151,0
Colorado School of Mines,CO,public,635,680,605,30,29,31,9,4383,0.4544,75700,26849,0.890625,25777,1
University of Denver,CO,private,595,610,565,28,28,27,9,5629,0.3759,51700,23166,0.7303988996,29771,1
Central Connecticut State University,CT,public,505,510,495,22,21,20,9,9600,0.5779,44300,22750,0.6337841421,15643,0
University of Saint Joseph,CT,private,480,485,490,21,19,20,7,930,0.7626,49500,27000,0.6636851521,24792,0
